Year,Age of Mother,Within Marriage,Outside Marriage
1980,28.8,29.2,22.2
1981,28.9,29.3,22.1
1982,29,29.5,22.2
1983,29.1,29.6,22.3
1984,29.1,29.6,22.7
1985,29.3,29.8,22.9
1986,29.3,30,23.1
1987,29.4,30.2,23.3
1988,29.5,30.3,23.4
1989,29.6,30.5,23.5
1990,29.6,30.6,23.6
1991,29.6,30.8,23.7
1992,29.7,31,23.9
1993,29.8,31.2,24.2
1994,29.9,31.4,24.4
1995,30,31.6,24.6
1996,30,31.8,24.7
1997,30.1,0,0
1998,30.1,32.2,25
1999,30.1,32.3,25.2
2000,30.2,0,0
2001,30.3,0,0
2002,30.4,32.4,26.2
2003,30.6,32.5,26.5
2004,30.8,32.7,26.8
2005,31,32.9,27
2006,31.1,33,27.2
2007,31.1,32.9,27.4
2008,31.2,33,27.6
2009,31.3,33.1,27.8
2010,31.5,33.2,28.2
2011,31.8,33.4,28.6
2012,32,33.6,28.9
2013,32.1,33.8,29.2
2014,32.3,34,29.4
